Title,Description,Campus,Research categories,Citizenship requirements,Preferred major(s),Desired experience,School/Dept.,Professor,More Info URL
Learning Optimization Through Play: Designing Decision-Driven Educational Games for STEM Education,"Project Overview: This undergraduate research project explores how digital games can be used to teach core Mathematical Optimization concepts through interactive decision-making. Students will design and develop playable game modules where players implicitly solve optimization problems—such as inventory control, routing, or competitive decision-making—through gameplay mechanics rather than traditional equations. The project blends computer science, game design, and applied mathematics, allowing students to translate abstract optimization principles into engaging, intuitive player experiences. ________________________________________ Research Objectives: 1.	Translate optimization problems into gameplay mechanics Investigate how classical optimization topics (e.g., inventory management, routing, Stackelberg games) can be represented as meaningful player decisions. 2.	Design and implement educational game modules Develop one or more digital game prototypes that embed optimization logic within gameplay. 3.	Evaluate learning and engagement outcomes Study whether players improve their understanding of optimization concepts through gameplay. ________________________________________ Core Research Questions: •	How can mathematical optimization principles be embedded into game mechanics without requiring formal math notation? •	Which types of gameplay (turn-based, real-time, competitive, collaborative) best convey optimization trade-offs? •	Does gameplay-based learning improve conceptual understanding and decision-making intuition in STEM topics? ________________________________________ Technical Implementation: Students will: •	Use Unity, Godot, Unreal Engine, or Blender for game development. •	Implement optimization logic using object-oriented programming (e.g., C#, Python, GDScript, C++). •	Develop AI agents using rule-based or heuristic optimization approaches. •	Integrate data tracking to log player decisions and outcomes. ________________________________________ Skills Students Will Develop: •	Game design and prototyping •	Object-oriented and logic programming •	Applied optimization modeling •	User experience (UX) and learning assessment •	Interdisciplinary research communication ________________________________________ Suitable For: •	Junior and senior undergraduates •	Majors in Computer Science, Computer Engineering, Software Engineering, or Applied Math •	Students interested in game development, AI, simulation, or educational technology",West Lafayette,"Learning and Evaluation, Other",No citizenship requirements,No Major Restriction,"Desired Technical Skills:
Programming & Development
•	Proficiency in at least one object-oriented language (e.g., C#, C++, Java, Python)
•	Experience with logic-based or rule-based programming
•	Familiarity with version control systems (e.g., Git/GitHub)

Game Development:
•	Experience with at least one game engine or development tool:
o	Unity
o	Godot
o	Unreal Engine
o	Blender (for modeling and assets)
•	Understanding of game mechanics, physics, and player interaction

Optimization & Simulation:
•	Ability to implement algorithms for:
o	Shortest path / routing
o	Scheduling
o	Inventory control
•	Experience with simulations or agent-based modeling is a plus
________________________________________
Desired Special Skills:
•	Strong problem-solving and analytical thinking
•	Ability to translate abstract mathematical ideas into interactive systems
•	Creativity in game design and storytelling
•	Debugging and testing complex systems
•	Basic UI/UX design principles
________________________________________
Training & Experience (Preferred, Not Required):
•	Prior experience developing a complete game or simulation project
•	Experience working on team-based software projects
•	Exposure to educational or “serious games”
•	Experience with AI agents, heuristics, or decision-making models
•	Participation in hackathons, game jams, or research projects",Edwardson School of Industrial Engineering,Danial Davarnia,
Learning for humanoid robot whole-body control,"Humanoid robots have the potential to assist humans in daily life, factories, and disaster response. For robots to work safely and effectively alongside people, they must be able to understand and respond appropriately to human actions and preferences. Although modern robots can already walk, balance, and navigate complex environments, making them interact naturally and safely with humans remains a major challenge. This summer project will focus on studying how humans interact behaviorally with humanoid robots and exploring simple methods to make this interaction more intuitive and trustworthy. The student will help design and conduct experiments using Purdue’s Digit humanoid robot, observing how humans respond to different robot behaviors (e.g., speed, distance, or gesture style). Using collected data, the student will analyze patterns in human comfort, trust, and cooperation. Depending on the student’s background, additional tasks may include: (1) Implementing simple control or perception algorithms for the robot in simulation or hardware, (2) Analyzing human-robot interaction data using Python or MATLAB, and (3) Assisting with demonstrations or visualization of robot behaviors. Learning Outcomes: By the end of the project, the student will gain experience in: (1) Fundamental principles of human–robot interaction, (2) Hands-on work with a humanoid robot (Digit), (3) Experimental design and data analysis, and (4) Basic programming for robot control or behavioral analysis.",West Lafayette,Fabrication and Robotics,No citizenship requirements,Mechanical Engineering Electrical Engineering Computer Science Computer Engineering Mathematics - Computer Science,"Python, C++
Dynamics modeling, controls, optimization
Data collection",School of Mechanical Engineering,Yan Gu,https://www.thetracelab.com/
Lithographic Processing of Ferroelectric Oxides,"Research Topic, Ferroelectric Memory: The microelectronics game remains the same as it has for decades.  Do more, faster, under more extreme conditions and in a smaller footprint.  For memory, demands have especially intensified. The push for near-, or in-memory, compute along with application drivers for systems that operate in ever more severe environments requires alternative approaches.  In response, emergent ferroelectric memory technologies based on wurtzite and fluorite crystal structures are being increasingly pursued. Fluorite ferroelectrics based on hafnia (e.g. Hf(Zr)O2), meanwhile, exhibit requisite scaling and are CMOS compatible suggesting a way to shrink the process-memory gap.  Despite this promise, each technology remains unable to meet endurance targets.  It is therefore necessary to “find and fix” the defect(s) limiting lifetime.  To do so, methods of processing these materials must be developed that “help” them work more than “hurt” them. What’ You’ll Do: Team members will be responsible for developing lithographic processing recipes for optimizing the performance of both planar and non-planar ferroelectric hafnia devices.  This will require demonstrated lithographic ability to be employed in Birck Nanotechnology Center.  In addition,   Specifically, you will use photoluminescence (fancy for glow in the dark) to assess defects induced during the processing. Direct mentoring from Dr. B will build your skills in advanced spectroscopic tools (Raman, photoluminescence), coding, technical communication and professional development. In addition, you will have the chance to participate in writing journal articles and pursuing patents based on your work. Who we are… Specere is a latin word that means “to look or behold.” That’s what we do. We look, explore, and examine different ways to: (1) move energy with light and (2) get information from light. More specifically, we are a light lab employing physics to create spectroscopic, thermal, and sensing solutions.",West Lafayette,"Heterogeneous Integration, Material Processing and Characterization, Microelectronics, Nanotechnology",No citizenship requirements,Industrial Engineering Materials Engineering Mechanical Engineering,Lithographic processing and clean room experience is central to this position.,School of Mechanical Engineering,Thomas Beechem,www.specere.org
"Machine LearningDriven Reconstruction of Cardiac Flow MRI: Harmonization, Training, and Quantification","This project develops an end-to-end pipeline for transforming raw 4D Flow MRI data into high-quality reconstructions and clinically relevant hemodynamic metrics, with a focus on pediatric patients with congenital heart defects. Students will contribute to machine learning–based image reconstruction, data harmonization, and flow quantification to improve the accuracy and usability of cardiac MRI. Work will include cleaning and organizing MRI datasets, training and evaluating deep learning models, and extracting flow features such as wall shear stress, regurgitant fraction, and energy loss. The project bridges machine learning, fluid dynamics, and medical imaging for direct clinical impact.",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,Biomedical Engineering Computer Science Mechanical Engineering,"Proficiency in Python and NumPy (experience with PyTorch or JAX is a plus) 

Familiarity with basic fluid mechanics or vector calculus 

Interest in medical imaging, computational modeling, or machine learning 

Bonus: Experience with Linux, scientific visualization (ParaView, VTK, or Plotly), or GPU computing",School of Mechanical Engineering,Ilias Bilionis,https://predictivesciencelab.org/
Mass spectrometry of biomolecules and nanoclusters,"We are using mass spectrometry to study the localization of lipids, drugs, and proteins in biological tissues and to prepare novel functional interfaces using well-defined polyatomic ions. The student will work with a graduate student mentor to either perform nanocluster synthesis and characterization using mass spectrometry and electrochemical measurements or to develop new analytical approaches for quantitative analysis of biomolecules in biological samples. We are also developing computational approaches for connecting mass spectrometry imaging data with biochemical pathways. In both projects, the student will be trained to operate state-of-the-art mass spectrometers and perform independent data acquisition and analysis. The student will also work with scientific literature to obtain a broader understanding of the field.",West Lafayette,"Biological Characterization and Imaging, Chemical Catalysis and Synthesis",No citizenship requirements,No Major Restriction,"General chemistry, analytical chemistry and labs",Department of chemistry,Julia Laskin,https://www.chem.purdue.edu/jlaskin/
Mathematical modeling to forecast the 2026 US Elections,"Election forecasting involves polling likely voters, weighting polling data, combining it with other information (e.g., how the economy is doing), and accounting for uncertainty. In the project, we will use publicly-available polling data, together with mathematical modeling, to produce forecasts of the 2026 US senatorial and gubernatorial elections. We will produce forecasts of the 2026 US elections and post our forecasts on our website. We will write code for handling polling data and weighting it in new ways.",West Lafayette,Other,No citizenship requirements,No Major Restriction,"Background in linear algebra and differential equations, programming skills (especially Matlab; R, Html, or Javascript are also helpful), enthusiasm for interdisciplinary research and collaboration",Department of Mathematics,Alexandria Volkening,https://c-r-u-d.gitlab.io/2024/ 
Micro Morphing Aircraft,"Micro Morphing Aircraft are palm-sized unmanned vehicles that change their geometry in real time, adjusting camber, twist, and effective planform through lightweight, compliant mechanisms and micro-actuators. The goal is to keep control authority and efficiency in gusty, constrained environments. The technical core is structure–control co-design: morphing surfaces provide aerodynamic leverage when traditional control surfaces saturate, while embedded control algorithms coordinate shape change and actuation commands under tight computational limits. Selected students are expected to bring a builder's mindset and reliability, along with foundational skills in one or more of the following areas: mechanical design and rapid prototyping, embedded systems and sensors, or modeling and control. Students in this role will contribute to the full research cycle: conceiving and refining morphing concepts; fabricating lightweight mechanisms and skins; integrating low-SWaP avionics, GPS/IMU sensing, and micro-actuation; and implementing onboard guidance and control algorithms suitable for resource-constrained hardware.",West Lafayette,Fabrication and Robotics,"U.S. Citizen, U.S. Permanent Resident",Aeronautical and Astronautical Engineering Mechanical Engineering Electrical Engineering Robotics Engineering Technology Computer Science,"Experience with UAV design, system integration, and experimental flight is required. Applicants are expected to include a description of prior experience in UAV-relevant research and products/results.",School of Aeronautics and Astronautics,Ran Dai,
Microbiomes of Controlled Environment Agriculture,"Student will build, operate, and analyze controlled environment agriculture systems (e.g., hydroponics) to further understand microbiome interactions that may aid in plant growth. Students will use molecular microbiological tools, as well as practical engineering, hydraulics, and construction skills",West Lafayette,"Biological Characterization and Imaging, Biotechnology Data Insights, Ecology and Sustainability, Engineering the Built Environment, Environmental Characterization",No citizenship requirements,No Major Restriction,"Experience with hydroponics is a benefit to the project, as is experience with molecular biology tools. Basic understanding of coding, hydraulics, and biology are desired.",Department of Agricultural and Biological Engineering,Caitlin Proctor,
Microfluidic system for studying the transport of therapeutics,"The development of a microfluidic model for various therapeutics, ranging from various sizes and concentrations, will be explored. Transport within the hydrogels will be analyzed to generate correlations with the various aspects of the therapeutic solutions. Microfluidic models have been recognized as an interesting alternative to animal models for drug screening. These models can mimic some of the physiological characteristics across solid tumors to the physiological barriers. The therapeutic solution will be injected into one of the microchannels, while the other microchannel wells will have the hydrogel formulations in them. The transport of the therapeutic solution in the hydrogel will be measured by fluorescence microscopy or other techniques.",West Lafayette,Other,No citizenship requirements,No Major Restriction,,School of Mechanical Engineering,Arezoo Ardekani,https://engineering.purdue.edu/ComplexFlowLab/research
Modeling catalyst-support interaction in hydrogen fuel cells,"This project will study the interaction of Pt and Pt alloy nanoparticles with carbon support, and its dependence on the defect density, graphitization, surface oxygenated groups and doping of heteroatoms. The goal is to understand how to suppress migration, coalescence and detachment of supported nanocatalysts and associated loss of electrochemically active surface area  in hydrogen fuel cells.",West Lafayette,"Big Data/Machine Learning, Energy and Environment, Material Modeling and Simulation, Nanotechnology",No citizenship requirements,Chemical Engineering Chemistry Materials Engineering Physics,Basic knowledge in quantum mechanics and machine learning force field. Basic experience in python programing.,Chemistry,Zhenhua Zeng,https://scholar.google.com/citations?user=RprmJAsAAAAJ&hl=en
Multi-Robot Coordination for Maritime Environments,"Autonomous fleets of surface, underwater, and aerial vehicles promise significant capabilities in environmental monitoring and surveillance operations. Effective coordination in these settings, however, requires global and reliable exchange of monitoring updates and high-level control commands under extreme communication constraints. Our goal is to 1) develop a theoretical framework for multi-robot control and communication, 2) build simulations to verify our algorithms and 3) create system implementations to demonstrate performance gains in the real world. The student working on the SURF project will support all 3 phases - theoretical analysis, simulations, and system development.",West Lafayette,"Deep Learning, Fabrication and Robotics, Mobile Computing, Other",No citizenship requirements,No Major Restriction,"- Coursework in control theory and/or wireless communication/networks and/or optimization would be a plus. 
- Some experience working with ROS and/or other robotics platforms would also be a plus.",Elmore Family School of Electrical and Computer Engineering,Vishrant Tripathi,
Neutral atom array trapping on nanophotonic circuits for quantum science and applications,"Trapping cold neutral atoms on nanophotonic circuits enables strong atom-light interactions for applications in quantum science and technology. We are developing an apparatus for trapping atom arrays on nanophotonic structures such as microring resonators or two-dimensional photonic crystals for experiments on many-body quantum optics and quantum communications. A summer research student is expected to utilize a spatial light modulator and high resolution microscope optics to engineer a programmable optical tweezer array for trapping single laser-cooled atoms. It is expected that some advanced algorithms or machine learning can facilitate generation of aberration-free, high resolution light patterns. Participating student should have prior knowledge in Fourier optics and is fluent in python programming. Basic knowledge in  quantum mechanics.",West Lafayette,"Heterogeneous Integration, Nanotechnology, Other",No citizenship requirements,Physics Electrical Engineering Computer Engineering,"Optics, quantum mechanics, and computer programming skills.",Physics and Astronomy,Chen-Lung Hung,https://ultracold.physics.purdue.edu
Neutrophil engager to treat tumor,The student will help design and produce engagers to mediate neutrophil killing of tumor cells.,West Lafayette,"Cellular Biology, Genetics",No citizenship requirements,No Major Restriction,"Experiences in molecular cloning, cell culture and protein purification would be desired.",Biological Sciences,Qing Deng,https://www.denglab.us/
Next-generation compact and robust 2D and 3D imaging system development,"The student will collaborate closely with a graduate mentor to advance the development of an innovative camera system that meaningfully pushes the boundaries of current imaging technology. This project aims to achieve significant improvements in key performance metrics such as device footprint, imaging accuracy, spatial resolution, and energy efficiency. Throughout the summer, the student will gain hands-on experience in optical system design and assembly, develop and integrate deep learning-based image processing algorithms, and analyze real measurement data collected from the prototype system. The research experience will also include scientific communication training: the student will participate in writing and refining an academic paper to disseminate the research findings. This multidisciplinary project combines elements of optics, machine learning, and experimental validation, and builds upon the research themes showcased on Professor Qi Guo’s laboratory webpage: https://www.qiguo.org/",West Lafayette,"Biological Characterization and Imaging, Deep Learning, Mobile Computing, Other",No citizenship requirements,Computer Engineering Electrical Engineering Computer Science Mechanical Engineering,"Signals and Systems, Python and C programming, Microprocessor (optional)",Elmore Family School of Electrical and Computer Engineering,Qi Guo,https://www.qiguo.org/
Novel Deep Learning Models Informed by Physics and Domain Knowledge,"Deep learning has become one of the most powerful tools in science and engineering, yet many standard neural networks struggle in domains where physical laws must always be respected. For example, a model that predicts chemical processes must obey mass and energy conservation, and a model that makes decisions for an industrial system must follow safety and operational limits. Traditional neural networks learn patterns from data but can easily break these rules, especially when data are limited or noisy. This project introduces undergraduate students to a new kind of machine learning model called Optimization Inspired Neural Networks. Instead of adding physical and logical rules as soft penalties, these models incorporate mathematical optimization principles directly into the structure of the network so that the predictions are guaranteed to follow the required domain knowledge. Students will help develop and test these models on applications drawn from chemical engineering and related fields. Examples include predicting molecular properties while respecting chemistry laws, designing reliable process control models, or generating physically consistent reaction mechanisms. The student will gain experience with modern machine learning frameworks while also learning how scientific principles can be built into AI models to make them more trustworthy and reliable.",West Lafayette,"Big Data/Machine Learning, Deep Learning","U.S. Citizen, U.S. Permanent Resident",Computer Science Industrial Engineering Electrical Engineering Mathematics Chemical Engineering,"The ideal student is curious about the intersection of optimization, machine learning, and chemical engineering. A background in Python programming is important. Prior experience with machine learning libraries such as PyTorch or TensorFlow is helpful but not required if the student is motivated to learn. Some familiarity with linear algebra, differential equations, or optimization will make it easier to engage with the project, but the key requirement is enthusiasm for scientific computing and a willingness to explore how physics and domain knowledge can improve AI models. The project is suitable for students from chemical engineering, computer science, applied mathematics, or related areas.",Davidson School of Chemical Engineering,Can Li,
Novel radiation sensors,"We have ongoing sponsored projects with DoE-NNSA to develop a novel class of spectroscopic neutron-gamma radiation sensors in two areas: (1) Using the science of tensioned metastable fluids, and, (2) Renewable biopolymers.  The research involves experimentation as well as modeling and simulations.  Students are expected to be able to learn from graduate/post-doctoral staff and to conduct a specifically scoped task in the overall portfolio. Students are expected to have a basic nuclear engineering/physics background and be willing and able to be qualified/trained for conducting experiments with radiation sources.",West Lafayette,"Energy and Environment, Environmental Characterization, Material Processing and Characterization, Medical Science and Technology, Radiation Hardening, Thermal Technology, Other",No citizenship requirements,No Major Restriction,"NUCL200 - Introduction to Nuclear Engineering
NUCL300 - Nuclear Structure and Radiation Interactions with Matter",School of Nuclear Engineering,Rusi Taleyarkhan,
Operation and characterization of SPT-100 Hall thruster,"Hall-effect thrusters are extensively utilized for spacecraft propulsion. In these devices, a neutral gas propellant is ionized and accelerated in a ExB-field configuration, achieving high exhaust velocities in the range of 10 - 50 km/s. In this project, the student will engage in hands-on experimental work with the Hall-effect thruster SPT-100. The scope of work includes operation of the thruster and neutralizer systems, as well as characterization of the thruster's electrical parameters. The student will focus on the development of a neutralizer system based on a cathodic vacuum arc and the measurements of plasma parameters in the ejected plasma plume. In addition, the student will prepare and update related documentation for AAE 521 Plasma Laboratory course.",West Lafayette,Other,No citizenship requirements,No Major Restriction,,School of Aeronautics and Astronautics,Alexey Shashurin,https://engineering.purdue.edu/EPPL
Optimization of Next-Generation Heat Exchangers to Enable Ultra-Efficient Data Centers,"The Cooling Technologies Research Center (CTRC) is exploring new technologies and discovering ways to more effectively apply existing technologies to addresses the needs of companies and organizations in the area of high-performance heat removal from compact spaces. One of the distinctive features of working in this Center is training in practical applications relevant to industry. All of the projects involve close industrial support and collaboration in the research, often with direct transfer of the technologies to the participating industry members. Current research in the Center is motivated by rapidly evolving technology markets, including the electrification of the transportation sector, exponential growth in the generation, transmission, and processing of data, and the proliferation of interconnected computing devices, which bring new and extreme thermal management challenges. Our work explores new technologies and discovering ways to more effectively predict and control heat transport to enhance the performance and efficiency of thermal management systems in electric vehicles/aircraft, mobile phones, AI & high-performance computers, advanced semiconductors packages, and beyond.  The projects typically involve both experimental and computational aspects, and are multi-disciplinary in nature. Our ongoing projects are aligned with major initiatives to develop thermal management systems that will enable carbon-neutral electrified aviation and eliminate energy and water use associated with data center cooling, and use emerging physic-informed machine learning techniques to better understand boiling heat transfer processes, to name a few. This specific project project aims to develop a new generation of compact heat exchangers (HX) that improves performance while increasing overall compactness (surface area to volume ratio) compared to conventional designs.  Such heat exchangers can enable improved efficiency in the thermal management of high-power AI computing data centers. Fabrication of these heat exchangers is enabled by additive manufacturing of the complex geometries, and the exploration of new design spaces is enabled by advanced topology optimization techniques. Throughout this project, the student will gain experience with OpenFOAM, an open-source simulation library, and perform various heat transfer analysis. Also, the student will get exposed to numerical methods for generating/manipulating minimal surfaces to build heat exchangers and physical process for fabricating such objects with additive manufacturing.",West Lafayette,"Advanced Packaging, Big Data/Machine Learning, Energy and Environment, Fluid Modelling and Simulation, Heterogeneous Integration, Material Modeling and Simulation, Microelectronics, Thermal Technology",No citizenship requirements,Mechanical Engineering Aeronautical and Astronautical Engineering Chemical Engineering Nuclear Engineering,"A list of preferred course work is below; however, the experience is open to any student who is willing to learn these topics/software during the internship.
-Undergraduate courses in fluid dynamics, heat transfer, and thermodynamics 
-Familiarity with computer aided design (CAD) software (SolidWorks, CATIA, Fusion 260)
-Familiarity with computational fluid dynamics (CFD) software (OpenFOAM, Ansys, COMSOL, FEniCS)",School of Mechanical Engineering,Justin Weibel,https://engineering.purdue.edu/CTRC/research/index.php; https://engineering.purdue.edu/Herrick/research
Optimizing Resource Allocation in Time-Sensitive E-Commerce Logistics,"E-commerce and logistics providers now routinely offer same-day and next-day delivery, creating intense pressure on how resources such as vehicles, drivers, warehouse capacity, and sorting staff are allocated. Inefficient decisions quickly lead to delays, congestion, and high operating costs. This project will design and analyze resource allocation strategies for such time-sensitive systems, focusing on how to meet strict delivery deadlines while controlling cost and maintaining reliable service quality. Using examples from e-commerce fulfillment and last-mile delivery operations, the project will develop mathematical models (e.g., for order processing, dispatching, and routing) that explicitly incorporate tight time constraints and uncertainty in demand. The student is expected to use mathematical programming to study system performance under different policies, then implement and test these strategies computationally to quantify trade-offs between speed, cost, and resource utilization. They will develop skills in: (1) Mathematical programming (e.g., linear/integer optimization), (2) Queuing theory applied to real logistics systems, (3) Programming and data analysis, using tools such as Python, optimization libraries, and optimization solver (e.g., Gurobi/CPLEX).",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,No Major Restriction,"Prior coursework in operations research and optimization, as well as strong programming skills (e.g., Python), is strongly preferred.",Edwardson School of Industrial Engineering,Reem Khir,
Origins of Life and Astrobiology Research Assistant,"This is an open call for an undergraduate research assistant to join the Laboratory for Origins and Astrobiology Research (LOAR) at Purdue University. The specific project will be developed in collaboration with the selected student based on their interests and background. Our group investigates the chemical and environmental processes that may give rise to life on early Earth, Titan, and Mars. We also investigate the search for agnostic biosignatures that could be used detect life elsewhere in our Solar System. We combine experiments, analytical chemistry, computational modeling, and microbial biology to explore these questions. Potential directions include: • Developing new Liquid Chromatography/Orbitrap-Mass Spectrometry methods to detect prebiotic species of interest. • Modeling the thermodynamics and kinetics of biomolecule formation under planetary conditions. • Studying microbial motility and responses to environmental stress using microscopy. • Assisting in laboratory simulations of atmospheric, aqueous, and/or freeze–thaw environments. The ideal student is curious, self-motivated, and excited to contribute to cutting-edge astrobiology research. A passion for astrobiology and a willingness to learn are essential; prior research experience is helpful but not required.",West Lafayette,"Chemical Catalysis and Synthesis, Other",No citizenship requirements,No Major Restriction,Past research experience is welcomed.,"Earth, Atmospheric and Planetary Sciences",Ben Pearce,www.benkdpearce.com
Particle Combustion in Post-Detonation Flow,"As part of a larger project simulating the combustion of magnesium and carbon particles in a post-detonation shockwave, we will be performing experiments involving the combustion of carbon rods in high-speed (high-subsonic to low-supersonic) air flows. Experimental results will be used to validate particle group-combustion modeling techniques being developed by a broader team of researchers across several institutions. Research tasks may include thermal/fluid modeling, programming (MATLAB/Python), component design (CAD), fluid system design and construction, data acquisition, and more.",West Lafayette,"Energy and Environment, Fluid Modelling and Simulation",U.S. Citizen,Mechanical Engineering Aeronautical and Astronautical Engineering Chemical Engineering,"The ideal undergraduate researcher will:
•	Be available to work in person over the summer.
•	Be proficient with SolidWorks or similar CAD modeling and assembly creation software.
•	Be experienced with MATLAB or Python.
•	Have prior experience and/or strong interest, in the design and construction and operation of fluid or experimental systems.
•	Be eligible to work with export controlled information",School of Mechanical Engineering,Daniel Guildenbecher,https://engineering.purdue.edu/GuildenbecherLab
Pattern Analysis of Player Movement for Space Creation in Soccer,"In this project, the student will analyze player movement patterns in soccer to understand how players create space, either for themselves or for their teammates. The goal is to identify recurring movement behaviors and use them to build a player taxonomy, grouping players into different categories based on how they move on the field. The work will involve processing and analyzing spatio-temporal tracking data using Python. The student is expected to have basic Python knowledge (such as variables, loops, functions, and simple data structures), but does not need to be an expert. Programming skills will naturally improve throughout the project. The student should also have a basic understanding of soccer, including the rules of the game, player positions, and general tactical concepts such as possession, pressing, and spacing. This background is important for correctly interpreting movement patterns and placing the results in realistic game contexts. The project will introduce the student to pattern recognition and machine learning techniques applied to sports data. These may include clustering methods (e.g., K-means, DBSCAN), dimensionality reduction techniques (e.g., PCA, UMAP), classification models, and time-series approaches such as Hidden Markov Models and recurrent neural networks. Not all techniques will necessarily be used; instead, different methods will be explored and evaluated to determine which best captures meaningful movement patterns. Through this work, the student will gain experience in data-driven sports analytics and spatio-temporal modeling.",West Lafayette,"Big Data/Machine Learning, Biological Simulation and Technology, Deep Learning, Human Factors",No citizenship requirements,No Major Restriction,- Python,School of Materials Engineering,Jan-Anders Mansson,
Physical AI for manufacturing with digital twin and data analytics,This project is on digitalization and data analysis of Manufacturing and Materials Research Laboratories (MMRL) equipment and testbeds as well as working with local manufacturing companies for data analytics.,West Lafayette,"Big Data/Machine Learning, Deep Learning, Fabrication and Robotics, Internet of Things (IoT)",No citizenship requirements,Computer Engineering Mechanical Engineering Electrical Engineering,,School of Mechanical Engineering,Martin Byung Guk Jun,https://purduelamm.github.io/home/
Physics-Informed Machine Learning to Improve the Predictability of Extreme Weather Events,"Atmospheric blocking events and 'Bomb Cyclones' are an important contributor to high impact extreme weather events. Both these weather extremes lead to heat waves, cold spells, droughts, and heavy precipitation episodes, which have dire consequences for the public health, economy, and ecosystem. For example, the blocking-induced heat waves of 2003 in Europe led to tens of thousands of human casualties and tens of billions of dollars of financial damage. Traditionally, prediction of extreme weather events is based on direct numerical simulation of regional or global atmospheric models, which are expensive to conduct and involve a large number of tunable parameters. However, with the rapid rise of data science and machine learning in recent years, this proposed work will apply convolutional neural network to an idealized atmospheric model to conduct predictability analysis of extreme weather events within this model. With this proposed machine-learning algorithm, our project will provide a robust forecast of heat waves and atmospheric blocking with a lead-time of a few weeks. With more frequent record-breaking heat waves in the future, such a prediction will offer a crucial period of time (a few weeks) for our society to take proper preparedness steps to protect our vulnerable citizens. This project is based on developing and verifying the machine learning algorithm for detecting extreme weather events in an idealized model. We will use Purdue’s supercomputer Bell to conduct the simulations. The undergraduate student will play an active and important role in running the idealized model, and participate in developing the algorithms. As an important component of climate preparedness, the proposed work aims to develop a physics-informed machine learning framework to improve predictability of extreme weather events. Closely advised by Prof. Wang, the student will conduct numerical simulations of an idealized and very simple climate model, and use python-based machine learning tools to predict extreme weather events within the model. Prof. Wang will provide weekly tutorial sessions to teach key techniques along with interactive hands-on sessions. The students will get access to the big datasets on Purdue’s Data Depot, analyze and visualize data of an idealized atmospheric model. The student will use convolutional neural networks (CNNs) to train and assess a Machine-Learning model. The student will further use feature tracking algorithm to backward identify the physical structure in the atmosphere that is responsible for the onset of extreme weather events.",West Lafayette,"Big Data/Machine Learning, Deep Learning, Fluid Modelling and Simulation",No citizenship requirements,No Major Restriction Computer Science Physics Atmospheric Science/Meteorology,Familiar with Machine Learning or prior knowledge of convolutional neural networks (CNNs); Have basic level training on PHYS172 Modern Mechanics or PHYS 15200 Mechanics or equivalent courses from other institutions; Familiar with Python scripting and visualization.,"Earth, Atmospheric and Planetary Sciences",Lei Wang,https://www.leiw.org
Portable AI-Empowered Tactile Sensing for Real-Time Healthcare Palpation,"This project aims to develop a low-cost, portable, AI-enhanced tactile sensing system for real-time detection of surface-level and subdermal abnormalities through manual palpation. Unlike conventional imaging tools such as CT or MRI, which are costly and inaccessible in many rural and underserved areas, the proposed device offers an affordable and scalable solution for point-of-care screening. The system integrates high-resolution vision-based tactile sensing with real-time machine learning algorithms to identify variations in tissue stiffness and compliance—key indicators of early-stage diseases such as tumors or fibrotic lesions. The research will proceed through three core tasks: (1) development of a handheld tactile device, (2) training AI models to interpret tactile data, and (3) testing the system using phantom tissues and simulated clinical environments. Students will be immersed in all phases of the project and gain hands-on experience in sensor design, AI modeling, biomedical validation, and research communication.",West Lafayette,"Fabrication and Robotics, Medical Science and Technology",No citizenship requirements,No Major Restriction,"sensor hardware design, signal process, machine learning algorithm development. 
Students must be from John Martinson Honors College (JMHC) due to funding constraints.",Edwardson School of Industrial Engineering,Yu She,https://www.purduemars.com/home
Predictive modeling of aortic root dilation progression in pediatric patients,"Aortic root dilation is a life-threatening cardiovascular condition affecting children with connective tissue disorders such as Marfan syndrome. Early detection of abnormal dilation patterns can dramatically improve clinical decisions and long-term outcomes. Our lab develops advanced imaging and AI tools to better quantify and predict disease progression in these patients. In this project, the student will contribute to building a predictive model of aortic root dilation using ultrasound imaging data and computational analysis. This is an excellent opportunity for students interested in clinically meaningful applications of machine learning in biomedical imaging. The student will take on hands-on components of the research pipeline, such as: Cleaning and organizing echocardiographic datasets (cine loops and diameter tracings) Extracting quantitative features from images using existing Python tools Training baseline predictive models (e.g., regression, random forests, or simple neural networks) Evaluating model performance, visualizing time-series diameter curves and identifying which imaging features best capture disease progression Contributing to the development of a preliminary manuscript or abstract for a future conference Skills Student Will Develop: Understanding of cardiovascular physiology and pediatric aortic disease Practical experience working with biomedical imaging data Using Python and associated libraries/packages Experience with data preprocessing, feature engineering, and basic supervised learning Scientific presentation and communication skills (student will present at the SURF symposium)",West Lafayette,"Cardiovascular Disease Research, Deep Learning",No citizenship requirements,No Major Restriction Biomedical Engineering Computer Science Computer Engineering,"Python, MATLAB (optional) programming and an interest in medical imaging.",Weldon School of Biomedical Engineering,Craig Goergen,https://www.youtube.com/watch?v=HkxSvFNhubg
